,Organisation Name,OrgUrls,Desc,Technologies,Topic,Organisation site,number of Projects
157, BeagleBoard.org ,https://summerofcode.withgoogle.com//programs/2023/organizations/beagleboardorg,Open hardware computing for educators and makers,"linux, fpga, risc-v, dsp, Zephyr RTOS","robotics, iot, ai, software defined radio, Personal Server",https://www.beagleboard.org,4
158, SPDX ,https://summerofcode.withgoogle.com//programs/2023/organizations/spdx,An open ISO standard for SBOMs,"python, java, json, go, rdf","compliance, licensing, data, vulnerabilities",https://spdx.dev,3
159, Metasploit ,https://summerofcode.withgoogle.com//programs/2023/organizations/metasploit,World’s most used penetration testing framework,"c, python, postgresql, ruby, assembly","security, penetration testing, offensive security, exploitation",https://metasploit.com,1
160, Mathesar ,https://summerofcode.withgoogle.com//programs/2023/organizations/mathesar,Webapp providing a UX-first interface to databases,"python, postgresql, javascript, django, svelte","databases, web, data, nonprofit, self-hosted",https://mathesar.org/,2
161, The Honeynet Project ,https://summerofcode.withgoogle.com//programs/2023/organizations/the-honeynet-project,Honeypots and Threat Intelligence R&D,"python, javascript, django, go, docker","honeypots, malware analysis, Threat Intelligence",https://honeynet.org,6
162, Free and Open Source Silicon Foundation ,https://summerofcode.withgoogle.com//programs/2023/organizations/free-and-open-source-silicon-foundation,Working together for Free and Open Source Silicon,"verilog, risc-v, compiler, web development","hardware, debug, web services, simulation, electronic design tools",https://www.fossi-foundation.org,5
163, Chromium ,https://summerofcode.withgoogle.com//programs/2023/organizations/chromium-lj,"Fast, seamless, safe, and reliable web for all","python, javascript, java, c++, git","web, browser, operating-system",https://chromium.org,17
164, MZmine and MS-DIAL ,https://summerofcode.withgoogle.com//programs/2023/organizations/mzmine-and-ms-dial,Open-source software for mass spectrometry,"java, c#, javafx","data science, graphics, cheminformatics, mass spectrometry, feature detection",https://mzmine-ms-dial-gsoc.github.io/,2
165, Kotlin Foundation ,https://summerofcode.withgoogle.com//programs/2023/organizations/kotlin-foundation,Advance the Kotlin programming language,"gradle, kotlin, jvm, Parsers & Compilers, Multiplatform","compilers, programming languages, software development, libraries, Programming & Build Tools",https://kotlinfoundation.org/,4
166, Open Technologies Alliance - GFOSS ,https://summerofcode.withgoogle.com//programs/2023/organizations/open-technologies-alliance-gfoss,Promote Open Standards and Open Source,"javascript, c/c++, nodejs, python 3, Machine Learning (ML)","web, robotics, open hardware, c++, Artificial Inteligence",http://www.gfoss.eu,7
167, SageMath ,https://summerofcode.withgoogle.com//programs/2023/organizations/sagemath,Open-source mathematics software system,"python, cython","mathematics, education, research",https://www.sagemath.org,6
