,Organisation Name,OrgUrls,desc,tech,topic,site,number of Projects
147, AboutCode ,https://summerofcode.withgoogle.com//programs/2024/organizations/aboutcode,"Scan code for origin, license and vulnerabilities","python, javascript, Django+PostgreSQL, C/Rust/Go","dependencies, vulnerabilities, SoftwareCompositionAnalysis, License, SBOM",https://aboutcode.org,4
148, DeepChem ,https://summerofcode.withgoogle.com//programs/2024/organizations/deepchem,Democratize AI for drug discovery.,"python, numpy, pytorch, HuggingFace","artificial intelligence, chemistry, biology, materials science, Drug Discovery",https://www.deepchem.io,8
149, The P4 Language Consortium ,https://summerofcode.withgoogle.com//programs/2024/organizations/the-p4-language-consortium,Evolve the programmable data plane ecosystem!,"c++, cmake, bazel, grpc, protobuf","networking, programming language, compiler, formal verification, programmable data plane",https://p4.org/,4
150, GNU Image Manipulation Program ,https://summerofcode.withgoogle.com//programs/2024/organizations/gnu-image-manipulation-program,GIMP is a cross-platform image editor,"c, GEGL","graphics, design, photography, illustration",https://www.gimp.org/,3
151, openSUSE Project ,https://summerofcode.withgoogle.com//programs/2024/organizations/opensuse-project,"Makers' choice for sysadmins, developers & users","python, c/c++, go, ruby, reactjs javascript","AIML, operating system developer tools, containers kubernetes, Security Cryptography, systems management",https://get.opensuse.org/,11
152, KolibriOS Project Team ,https://summerofcode.withgoogle.com//programs/2024/organizations/kolibrios-project-team,A tiny and fast operating system in fasm,"c, assembly, asm, fasm, pci","kernel, operating system, drivers, OS, low-level",https://kolibrios.org,2
153, Dart ,https://summerofcode.withgoogle.com//programs/2024/organizations/dart,Dart is a client language for apps on any platform,"flutter, dart","programming languages, mobile apps",https://dart.dev,4
154, CVAT ,https://summerofcode.withgoogle.com//programs/2024/organizations/cvat,Computer Vision Data Annotation Platform for AI,"python, django, react, kubernetes, typescript","machine learning, computer vision, ai, deep learning, data",https://www.cvat.ai,3
155, Chromium ,https://summerofcode.withgoogle.com//programs/2024/organizations/chromium-lj,"Fast, seamless, safe, and reliable web for all","python, javascript, java, c++, git","web, browser, operating-system",https://chromium.org,16
156, Mautic ,https://summerofcode.withgoogle.com//programs/2024/organizations/mautic,Free your Marketing with Open Source!,"mysql, php, symfony","DXP, Marketing, Marketing Automation, Digital Marketing, Digital Experience Platform",https://www.mautic.org,2
157, Mixxx ,https://summerofcode.withgoogle.com//programs/2024/organizations/mixxx,DJ Mixing App With Powerful Features For All DJs,"javascript, c++, qt","music, dj, streaming",https://mixxx.org,2
158, stdlib ,https://summerofcode.withgoogle.com//programs/2024/organizations/stdlib,The fundamental numerical library for JavaScript,"c, javascript, node.js, typescript","mathematics, web, scientific computing, numerical computing, statistics",https://stdlib.io,4
159, R project for statistical computing ,https://summerofcode.withgoogle.com//programs/2024/organizations/r-project-for-statistical-computing,R software for statistical computing & graphics,"c, javascript, c++, r-project, fortran","visualization, machine learning, data science, graphics, statistics",https://www.r-project.org/,18
160, cBioPortal for Cancer Genomics ,https://summerofcode.withgoogle.com//programs/2024/organizations/cbioportal-for-cancer-genomics,Aid discovery in complex cancer genomics data,"mysql, javascript, java, react, typescript","genomics, cancer, bioinformatics, big data, precision medicine",https://www.cbioportal.org/,9
161, Data for the Common Good ,https://summerofcode.withgoogle.com//programs/2024/organizations/data-for-the-common-good,Connect. Share. Discover.,"python, javascript, kubernetes, reactjs, terraform","web, health, data, infrastructure, software",https://commons.cri.uchicago.edu,4
162, RTEMS Project ,https://summerofcode.withgoogle.com//programs/2024/organizations/rtems-project,A real-time operating system for Earth & Space,"python, c/c++, assembly, posix","kernel, embedded, real-time, multicore, rtos",https://www.rtems.org/,6
163, Invesalius ,https://summerofcode.withgoogle.com//programs/2024/organizations/invesalius,3D Medical visualization and neuronavigation tool,"python, cython, numpy, dicom, Vtk","ehealth, medical imaging, 3D Reconstruction, 3d printing, Neuronavigation",https://invesalius.github.io/,5
164, Open Climate Fix ,https://summerofcode.withgoogle.com//programs/2024/organizations/open-climate-fix,Using Computers to Fix Climate Change,"python, pytorch","Forecasting, Climate, renewables",https://www.openclimatefix.org,4
165, caMicroscope ,https://summerofcode.withgoogle.com//programs/2024/organizations/camicroscope,Toolkit for cancer imaging research,"python, javascript, mongodb, opencv, node","data visualization, image analysis, AI/ML, microscopy, dicom pathology",https://camicroscope.github.io,3
166, omegaUp ,https://summerofcode.withgoogle.com//programs/2024/organizations/omegaup,Open CS Education as a catalyst for social change,"python, mysql, php, typescript, vue.js","education, web, cloud, edtech, UX/UI",https://omegaup.org,2
167, KDE Community ,https://summerofcode.withgoogle.com//programs/2024/organizations/kde-community,International team developing Open Source software,"c++, qt, qml, data structures","education, science, applications, desktop environment",https://kde.org/,10
